FORWARD_TEXT_FORMAT_1.0
STDEP =  2325.0000
ENDEP =  3749.5000
RLEV  =     0.1250
CURVENAME =  GR, SP, CALI, C13, C24, RT, RI, RXO, AC, CNL, DEN, SH, POR, GR_CMR, CMRP_A, CMEF_17, CMFF_6, CMFF_20, KTIM_20, KSDR_20, SO, DEVI, AZIM
END
#DEPTH            GR         SP       CALI        C13        C24         RT         RI        RXO         AC        CNL        DEN         SH        POR     GR_CMR     CMRP_A    CMEF_17     CMFF_6    CMFF_20    KTIM_20    KSDR_20         SO       DEVI       AZIM
2329.2500      72.755    -17.044      1.658      1.658      2.079   1707.641      2.795      0.698     94.710     44.948      1.970  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000      1.612    295.129
2329.3750      71.667    -17.128      1.655      1.655      2.079   1675.542      4.719      0.698     97.495     44.948      1.970  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000      1.612    295.470
2329.5000      70.169    -16.924      1.659      1.659      2.079   1710.107      2.419      0.698     95.220     44.948      1.970  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000      1.612    295.649
2329.6250      70.785    -16.846      1.661      1.661      2.079   1724.556      2.297      0.698     93.774     44.948      1.970  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000      1.612    295.378
2329.7500      72.526    -16.949      1.660      1.660      2.079   1710.603      3.781      0.698     94.286     44.948      1.970  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000      1.612    295.017
2329.8750      72.463    -17.023      1.658      1.658      2.079   1710.039      2.601      0.698     94.607     44.948      1.970  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000      1.612    295.182
2330.0000      69.737    -16.815      1.661      1.661      2.078   1732.533      0.968      0.698     93.598     44.948      1.970  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000      1.612    295.655
2330.1250      71.628    -16.881      1.661      1.661      2.079   1718.011      3.241      0.698     93.954     44.948      1.970  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000      1.612    295.173
2330.2500      70.789    -16.847      1.661      1.661      2.079   1724.526      2.301      0.698     93.775     44.948      1.970  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000      1.612    295.378
2330.3750      69.436    -16.792      1.661      1.661      2.078   1735.016      0.788      0.698     93.486     44.948      1.970  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000      1.612    295.707
